task,mean disprod_1,mean disprod_3,mean disprod_5,mean gurobiplan_1,mean gurobiplan_3,mean gurobiplan_5,mean jaxplan_1,mean jaxplan_3,mean jaxplan_5,mean noop,mean prost_1,mean prost_10,mean prost_2,mean prost_3,mean prost_4,mean prost_5,mean prost_6,mean prost_7,mean prost_8,mean prost_9,mean random,std disprod_1,std disprod_3,std disprod_5,std gurobiplan_1,std gurobiplan_3,std gurobiplan_5,std jaxplan_1,std jaxplan_3,std jaxplan_5,std noop,std prost_1,std prost_10,std prost_2,std prost_3,std prost_4,std prost_5,std prost_6,std prost_7,std prost_8,std prost_9,std random
AcademicAdvising_01,,,,0.9805914972273567,0.995686999383857,1.0,0.7513863216266173,0.9001848428835488,0.9097350585335797,0.0,0.950400492914356,,,0.9812076401725199,,0.9741219963031422,,,,,0.0,,,,0.06747468572405059,0.044405059141656815,0.040688766435241046,0.3820656398135505,0.07921451545118639,0.08090674811256725,0.0,0.10521215869764616,,,0.058933517110727245,,0.06833078042161676,,,,,0.03552719972746826
AcademicAdvising_02,,,,0.7850862911103874,0.976554868121133,0.9566916313904266,0.3327906219472484,0.28329534353630736,0.0,0.0,0.9853467925757082,,,0.9973949853467925,,1.0,,,,,0.0,,,,0.4067259013264944,0.07745470732039805,0.1026194761777428,0.2882847737202382,0.40187417185421975,0.004258123357415179,0.0,0.09024270465497164,,,0.09022331550070212,,0.07386706694200394,,,,,0.1259195210795905
AcademicAdvising_03,,,,1.0,0.9956776782957704,0.9675825872182773,0.7909848718740352,0.8465575794998457,0.5334979932077802,0.0,0.9666563754245139,,,0.9682000617474531,,0.9805495523309665,,,,,0.0,,,,0.05164224885300381,0.05091357389671394,0.062487080002227066,0.25079577652185203,0.16866099465800957,0.4341131391917087,0.0,0.06946176791342437,,,0.10736957053489674,,0.08579563611543962,,,,,0.09510110090193905
AcademicAdvising_04,,,,0.9806475623371791,0.9914402679568292,1.0,0.0,0.0,0.0,0.0,0.11946408634164504,,,0.15630815035355416,,0.11276516561220697,,,,,0.0,,,,0.11099860368303371,0.1068202944602024,0.09796495607750498,0.0,0.0,0.0,0.0,0.2712802522497668,,,0.30530918201702545,,0.23845438441205477,,,,,0.11619332593887083
AcademicAdvising_05,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.690909090909093,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.7441229792611318,,0.5621681757723748,,,,,1.0
AcademicAdvising_06,,,,0.9815778934721666,0.9899879855826993,1.0,0.0,0.0,0.0,0.0,0.019223067681217506,,,0.03123748498197842,,0.030436523828594405,,,,,0.0,,,,0.09572993750004691,0.11404629326451436,0.07169720896346168,0.0,0.0,0.0,0.0,0.024215004337734835,,,0.002402883460152183,,0.005432382845915314,,,,,0.05498556023803173
AcademicAdvising_07,,,,0.0,0.9491620111731844,1.0,0.0,0.0,0.0,0.0,0.015083798882681501,,,0.01731843575419007,,0.0,,,,,0.0,,,,0.0,0.22021308955778235,0.17749193301759,0.0,0.0,0.0,0.0,0.042292384628581314,,,0.0429077920431786,,0.03549135234473428,,,,,0.06576062109301524
AcademicAdvising_08,,,,0.0,0.8904109589041096,1.0,0.0,0.0,0.0,0.0,0.0,,,0.01223091976516634,,0.04549902152641884,,,,,0.0,,,,0.0,0.4150504548911996,0.2342948809621221,0.0,0.0,0.0,0.0,0.07878231551171894,,,0.03512638389009568,,0.014927736108016005,,,,,0.07454401939233232
AcademicAdvising_09,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6551724137931041,,,1.0,,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.43481104182477465,,1.0,,,,,1.0
AcademicAdvising_10,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,0.0,,,,0.0,0.19346476994218004,0.19346476994218004,0.0,0.0,0.0,0.0,0.02669175767715889,,,0.06230934709028925,,0.053632658944264756,,,,,0.081385219282382
CooperativeRecon_01,,,,0.8248730964467006,1.0,1.0,0.010152284263959394,0.43401015228426404,0.12182741116751274,0.0,0.8680203045685279,0.8705583756345179,0.8502538071065989,0.8857868020304568,0.913705583756345,0.9771573604060912,0.8984771573604061,0.8756345177664975,0.8730964467005077,0.9441624365482235,0.0,,,,0.2577735747744385,0.2766846715718099,0.44948944786320555,0.044252781152697214,0.43651133122358127,0.24523598637931301,0.0,0.04788822909673401,0.26144596010237653,0.21648124504101499,0.16249602337572702,0.17802718697208297,0.23693950340618444,0.15653953243765756,0.045046292764717874,0.04425278115269717,0.203932075396961,0.09632254666641987
