task,mean disprod_1,mean disprod_3,mean disprod_5,mean gurobiplan_1,mean gurobiplan_3,mean gurobiplan_5,mean jaxplan_1,mean jaxplan_3,mean jaxplan_5,mean noop,mean prost_1,mean prost_10,mean prost_2,mean prost_3,mean prost_4,mean prost_5,mean prost_6,mean prost_7,mean prost_8,mean prost_9,mean random,std disprod_1,std disprod_3,std disprod_5,std gurobiplan_1,std gurobiplan_3,std gurobiplan_5,std jaxplan_1,std jaxplan_3,std jaxplan_5,std noop,std prost_1,std prost_10,std prost_2,std prost_3,std prost_4,std prost_5,std prost_6,std prost_7,std prost_8,std prost_9,std random
CooperativeRecon_07,,,,5.21334814,5.327927220000001,4.840966130000001,0.38670439500000003,0.42967155,0.358059625,0.0,4.92690044,4.92690044,4.89825567,4.912578055,4.92690044,4.92690044,4.92690044,4.92690044,4.912578055,4.92690044,-0.247016825,,,,0.32153674578882185,0.19000790859205735,1.6176054411992433,1.1680429641493435,1.2921934825706836,1.082738204546328,0.0,0.32153674578882185,0.32153674578882185,0.3124775495199538,0.34224207310378507,0.32153674578882185,0.32153674578882185,0.32153674578882185,0.32153674578882185,0.31736285169395384,0.32153674578882185,0.7573392444809378
CooperativeRecon_08,,,,7.035626992999999,10.276102496000004,10.276102496000004,0.847343357,0.437902095,3.5324102330000002,0.0,9.663039563000002,9.371104833,9.517072198000001,9.487878725000003,9.517072198000001,9.429491779,9.458685252000004,9.400298306000002,9.371104833000002,9.312717887000002,-0.0142304165,,,,3.524922978523561,0.5660824441205105,0.5660824441205105,1.493311793969028,1.9087709792697476,4.478986653486133,0.0,0.5683362650217352,0.6777665738785981,0.6422564060000008,1.1512004761646382,0.7635083917079,0.7674052881424497,0.7745903701469689,0.6095776123592096,0.5975754887634912,0.9500221781011389,0.062028947447993775
CooperativeRecon_09,,,,9.933882305000003,9.933882305000003,9.933882305000003,0.0,0.0,0.0,0.0,9.129984315000003,9.101273672500003,9.072563030000001,9.101273672500003,9.072563030000001,9.015141745000001,9.072563030000001,8.957720460000003,9.072563030000001,9.072563030000001,0.0,,,,0.4484745725613939,0.4484745725613939,0.4484745725613939,0.0,0.0,0.0,0.0,0.3585958098904642,0.3754403677848721,0.3894501029250814,0.417046171871835,0.4664927245835469,0.41006999710246134,0.3445277100000002,0.5855845054211456,0.3894501029250814,0.8038979900000002,0.0
CooperativeRecon_10,,,,5.622922004,5.9988731845,5.4431192655,0.2124941455,0.0,0.9643965065,0.0,5.23062512,5.524847783,5.2796622305,5.3450450445,5.3450450445,5.328699341,5.328699340999999,5.4431192655,5.328699340999999,5.3123536375,-0.06918666999999999,,,,1.4197257414135938,0.29738401030179973,1.8326879739880726,0.926240506328528,0.0,1.7374952307442744,0.0,0.3868099440675624,0.412222957355245,0.4040398693173191,0.5197316857397876,0.4040398693173191,0.3881889500245859,0.45180423360474714,0.6956052353812836,0.4859927039085694,0.43707567580521706,0.30157770277009716
CrossingTraffic_01,,,,-15.3,-15.3,-15.3,-13.75,-15.3,-15.3,-40.0,-4.45,,,-4.45,,-4.45,,,,,-34.95,,,,18.12484482692197,18.12484482692197,18.12484482692197,17.195566289017645,18.12484482692197,18.12484482692197,0.0,0.6689544080129827,,,0.6689544080129827,,0.6689544080129827,,,,,12.043566747438236
CrossingTraffic_02,,,,-6.0,-6.3,-6.3,-24.85,-26.8,-26.7,-40.0,-6.0,,,-6.0,,-6.0,,,,,-36.8,,,,2.16794833886788,2.3895606290697042,2.3895606290697042,18.556063698963744,17.993332098307974,18.12484482692197,0.0,2.16794833886788,,,2.16794833886788,,2.16794833886788,,,,,9.729337079164232
CrossingTraffic_03,,,,-21.5,-21.5,-21.5,-21.5,-21.5,-21.5,-40.0,-6.2,,,-6.2,,-6.2,,,,,-38.3,,,,18.5,18.5,18.5,18.5,18.5,18.5,0.0,1.568438714135812,,,1.568438714135812,,1.568438714135812,,,,,7.410128204019145
CrossingTraffic_04,,,,-12.6,-12.6,-12.6,-36.3,-36.3,-36.3,-40.0,-10.6,,,-10.6,,-10.6,,,,,-40.0,,,,5.535341001239219,5.535341001239219,5.535341001239219,11.1,11.1,11.1,0.0,5.535341001239219,,,5.535341001239219,,5.535341001239219,,,,,0.0
CrossingTraffic_05,,,,-16.6,-16.6,-16.6,-18.45,-16.6,-16.6,-40.0,-6.6,,,-6.6,,-6.6,,,,,-40.0,,,,17.17090562550502,17.17090562550502,17.17090562550502,17.59680368703362,17.17090562550502,17.17090562550502,0.0,1.0677078252031311,,,1.0677078252031311,,1.0677078252031311,,,,,0.0
CrossingTraffic_06,,,,-31.0,-31.0,-31.0,-31.3,-28.75,-31.0,-40.0,-13.0,,,-12.45,,-11.9,,,,,-40.0,,,,15.588457268119896,15.588457268119896,15.588457268119896,15.116547224812944,15.430084251228184,15.588457268119896,0.0,8.927485648266257,,,7.946540127627872,,9.502105029939418,,,,,0.0
CrossingTraffic_07,,,,-21.25,-21.25,-22.5,-22.5,-22.5,-22.5,-40.0,-9.0,,,-8.9,,-8.2,,,,,-40.0,,,,12.537443918119834,12.537443918119834,17.5,17.5,17.5,17.5,0.0,4.135214625627067,,,3.9102429592034307,,2.227105745132009,,,,,0.0
